SEVERITYDESC,YEAR,TOTAL
Property Damage Only Collision,2004,48
Property Damage Only Collision,2005,71
Property Damage Only Collision,2006,88
Property Damage Only Collision,2007,76
Property Damage Only Collision,2008,79
Property Damage Only Collision,2009,78
Property Damage Only Collision,2010,77
Property Damage Only Collision,2011,71
Property Damage Only Collision,2012,73
Property Damage Only Collision,2013,97
Property Damage Only Collision,2014,108
Property Damage Only Collision,2015,98
Property Damage Only Collision,2016,101
Property Damage Only Collision,2017,95
Property Damage Only Collision,2018,103
Property Damage Only Collision,2019,99
Property Damage Only Collision,2020,54
Property Damage Only Collision,2021,70
Injury Collision,2004,574
Injury Collision,2005,686
Injury Collision,2006,832
Injury Collision,2007,765
Injury Collision,2008,737
Injury Collision,2009,724
Injury Collision,2010,779
Injury Collision,2011,690
Injury Collision,2012,767
Injury Collision,2013,699
Injury Collision,2014,807
Injury Collision,2015,876
Injury Collision,2016,832
Injury Collision,2017,774
Injury Collision,2018,819
Injury Collision,2019,817
Injury Collision,2020,401
Injury Collision,2021,470
Serious Injury Collision,2004,66
Serious Injury Collision,2005,75
Serious Injury Collision,2006,120
Serious Injury Collision,2007,98
Serious Injury Collision,2008,82
Serious Injury Collision,2009,70
Serious Injury Collision,2010,71
Serious Injury Collision,2011,73
Serious Injury Collision,2012,88
Serious Injury Collision,2013,63
Serious Injury Collision,2014,81
Serious Injury Collision,2015,68
Serious Injury Collision,2016,82
Serious Injury Collision,2017,75
Serious Injury Collision,2018,89
Serious Injury Collision,2019,98
Serious Injury Collision,2020,54
Serious Injury Collision,2021,77
Fatality Collision,2004,11
Fatality Collision,2005,8
Fatality Collision,2006,11
Fatality Collision,2007,6
Fatality Collision,2008,11
Fatality Collision,2009,15
Fatality Collision,2010,7
Fatality Collision,2011,4
Fatality Collision,2012,9
Fatality Collision,2013,12
Fatality Collision,2014,7
Fatality Collision,2015,8
Fatality Collision,2016,9
Fatality Collision,2017,17
Fatality Collision,2018,10
Fatality Collision,2019,17
Fatality Collision,2020,15
Fatality Collision,2021,22
